Camera_ID,type,Country,State,City,Latitude,Longtitude,Resolution_w,Resolution_h,Ip,Port,Image_path,Video_path,Snapshot_url,m3u8_url,
5b0cfd2f45bb0c00042780f7,ip,US,GA,Atlanta,33.7763,-84.398,1280,800,130.207.76.171,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfd3045bb0c00042780f8,ip,US,VT,Middlebury,43.9957,-73.1596,1280,800,140.233.64.66,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfd5645bb0c000427811f,ip,US,CA,Clio,39.7289,-120.571,640,480,216.198.113.51,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfd5845bb0c0004278121,ip,CH,Null,Lausanne,46.5333,6.6667,1280,1024,130.223.93.252,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfd5f45bb0c0004278129,ip,NL,Null,Groningen,53.2167,6.55,640,400,129.125.136.20,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfd6145bb0c000427812b,ip,US,VA,Ashburn,39.0335,-77.4838,640,480,208.64.154.18,80,/SnapshotJPEG?Resolution,/nphMotionJpeg?Resolution,Null,Null,
5b0cfd8a45bb0c0004278154,ip,US,WA,Bellevue,47.6154,-122.21,640,480,134.39.121.104,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfd9745bb0c0004278162,ip,US,MA,Worcester,42.2423,-71.8099,1280,720,140.232.203.246,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfd9e45bb0c0004278169,ip,US,IA,Le Mars,42.7809,-96.2132,800,600,216.159.64.29,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfda145bb0c000427816c,ip,US,CT,West Hartford,41.7814,-72.7544,640,480,137.49.20.25,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfda945bb0c0004278174,ip,US,WA,Vashon,47.4206,-122.451,720,480,64.91.104.185,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfdc745bb0c0004278193,ip,US,GA,Atlanta,33.7763,-84.398,640,480,130.207.153.70,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfdcb45bb0c0004278197,ip,US,GA,Atlanta,33.7763,-84.398,,,130.207.156.183,80,,/,Null,Null,
