Camera_ID,Country,State,City,Latitude,Longtitude,Resolution_w,Resolution_h,Ip,Port,Image_path,Video_path
5b0cfafd45bb0c0004277eb7,US,VT,Middlebury,43.9957,-73.1596,1280,800,140.233.86.204,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb0d45bb0c0004277ec7,US,PA,University Park,40.8077,-77.8614,1600,1200,146.186.123.229,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb1945bb0c0004277ed3,US,NY,Hamilton,42.8175,-75.5483,640,480,149.43.156.105,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb2145bb0c0004277edb,IS,Null,,65,-18,704,576,157.157.215.231,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb2445bb0c0004277ede,US,CA,Los Angeles,33.9571,-118.404,320,240,157.242.44.60,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb2945bb0c0004277ee3,HR,Null,Zagreb,45.8,16,800,568,161.53.240.140,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb3e45bb0c0004277ef8,GB,Null,Plymouth,50.3761,-4.1632,800,600,192.171.163.3,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb4d45bb0c0004277f07,SE,Null,,62,15,1280,720,194.103.218.15,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb4f45bb0c0004277f09,SE,Null,Vertorne,66.3833,23.6667,640,480,194.117.188.138,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb5a45bb0c0004277f14,FI,Null,Ivalo,68.65,27.6,384,288,194.89.9.86,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb6045bb0c0004277f1a,SE,Null,Pajala,67.2,23.3667,640,480,195.196.36.242,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb6145bb0c0004277f1b,PL,Null,,52,20,384,288,195.200.199.8,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb6f45bb0c0004277f28,US,VA,Blacksburg,37.1791,-80.3515,1280,720,198.82.159.136,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb7145bb0c0004277f2a,US,SC,Rock Hill,34.9926,-81.1787,704,480,199.79.254.179,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb7445bb0c0004277f2d,MX,Null,,19.43,-99.13,640,480,200.36.58.250,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfb9e45bb0c0004277f57,FR,Null,Brest,48.3908,-4.4862,640,480,212.234.116.85,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfba145bb0c0004277f5b,DE,Null,Cloppenburg,52.8475,8.0462,640,480,212.6.91.123,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfba845bb0c0004277f62,CH,Null,Haggenschwil,47.4942,9.3425,768,576,213.196.182.244,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfbc345bb0c0004277f7e,US,AK,Anchorage,61.2181,-149.9,640,480,216.67.98.12,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfbc445bb0c0004277f7f,US,MI,Detroit,42.3314,-83.0457,704,480,216.8.159.21,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfbcd45bb0c0004277f89,DE,Null,Essen,51.45,7.0167,704,576,217.78.137.43,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfbe745bb0c0004277fa3,US,MI,Midland,43.7053,-84.2377,704,480,24.180.249.249,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfbfd45bb0c0004277fb8,ES,Null,Bilbao,43.2609,-2.9388,640,480,62.99.76.193,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfc2b45bb0c0004277fe9,US,ND,Devils Lake,48.1436,-98.8872,800,450,76.10.79.246,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfc2d45bb0c0004277feb,NO,Null,Alvdal,62.1167,10.65,704,576,77.106.164.66,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfc2f45bb0c0004277fed,CZ,Null,Bystrice Pod Hostynem,49.3996,17.6742,640,480,77.48.31.68,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfc4845bb0c0004278007,CZ,Null,Trinec,49.6804,18.6653,640,480,80.82.144.83,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfc4e45bb0c000427800d,PL,Null,Kielce,50.8333,20.6667,640,480,81.26.28.141,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfc4f45bb0c000427800e,SE,Null,Stensele,65.0833,17.1667,640,480,81.8.152.68,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfc6e45bb0c000427802e,BG,Null,Burgas,42.5,27.4667,480,360,84.54.139.100,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfc7c45bb0c000427803b,DK,Null,Holte,55.8167,12.4667,1920,1080,87.54.59.228,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfc8645bb0c0004278046,RU,Null,,60,100,640,480,91.143.62.11,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfcd845bb0c000427809d,US,MI,Allendale,42.9742,-85.9311,1920,1080,148.61.97.229,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfcd945bb0c000427809e,US,MI,Allendale,42.9742,-85.9311,1920,1080,148.61.63.218,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfcdb45bb0c00042780a0,DE,Null,Gttingen,51.5333,9.9333,320,240,134.76.205.194,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfce645bb0c00042780ab,SE,Null,Pajala,67.2,23.3667,800,450,195.196.35.91,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfcfa45bb0c00042780be,US,ND,Devils Lake,48.1436,-98.8872,800,450,69.178.250.15,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfcfc45bb0c00042780c0,,Null,Vancouver,49.2765,-123.218,1280,720,142.103.183.237,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfd0f45bb0c00042780d4,US,AK,Fairbanks,64.8378,-147.716,640,480,137.229.93.113,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfd1045bb0c00042780d6,FI,Null,,64,26,640,480,194.8.226.46,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0cfd9745bb0c0004278162,US,MA,Worcester,42.2423,-71.8099,1280,720,140.232.203.246,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d0b8d45bb0c0004278f24,US,CA,32.8807,La Jolla,-117.236,704,480,137.110.112.53,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d326484d57c0004cb994d,PL,Null,52,,20,704,480,193.46.68.18,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
